Name,ID,count_win,count_total,winRate
Dante's Cloak,c1102381-a1f5-4d17-be35-8f51f820982a,61,68,0.8970588235294118
Decayed Decoy,55c06c99-7cee-4d7e-ad17-f893722d8071,17,17,1.0
Dun Echo,9427e610-0c7b-4430-ab1f-c84049097168,45,46,0.9782608695652174
Echo seedling,51368ce4-b037-49ef-801c-545405b78800,44,46,0.9565217391304348
Ember Stasis,8d82ea2b-6672-49fd-8220-66bb12280bbc,21,28,0.75
Emblem of the Exiles,cb2c9d18-9a05-4523-acdc-6e4af73152aa,113,116,0.9741379310344828
Encased Ember,4a5b1613-568c-4bf6-8bf7-15f8bf013345,80,84,0.9523809523809523
Encased Divinity,a66188b9-845d-475e-b6e6-7ea5335ec00b,57,60,0.95
Exploding Candle,cb54fe76-9b3c-47f9-972c-424ec3ee39f7,93,109,0.8532110091743119
Fade's First Blade,85667d60-8053-4204-8c02-ba101dab7945,87,89,0.9775280898876404
Faulty Loader,6aa37e42-945b-4a18-a76c-c22831c207e9,107,110,0.9727272727272728
Fel's Remorse,6eef1e2d-3bd5-4f04-bd88-d0c24d5eb691,440,472,0.9322033898305084
Fel's Remorse,780f977e-4007-45ae-900f-c8929b2bf000,466,593,0.7858347386172007
Flicker's Liquor,128dd519-611c-4999-b7ac-e63ea027b1fa,145,164,0.8841463414634146
Forever Flame,1d4b98db-c6b4-44fb-b3cb-2242fdff06cb,248,291,0.852233676975945
Fossilized Fangs,b6613fe4-13c6-4462-8a0b-9af42850a851,77,95,0.8105263157894737
Founding Seal,410ba540-7c4f-4dc5-a84f-b1d8af508891,112,124,0.9032258064516129
Frozen Nostalgia,003541f1-bbd8-4657-af8c-87809ec9dd16,11,13,0.8461538461538461
Gnarled Root,a6c957cc-e9f5-49b7-a6a3-cd7e95393289,67,76,0.881578947368421
Grrrg's Goad,94595f3a-4624-4408-977d-b166a98f23d2,121,132,0.9166666666666666
Guild Marker,ffcb6931-e45e-4e27-bacf-4c649779c2be,235,275,0.8545454545454545
Hammered Chestplates,fecb41b4-fd26-4f5c-aa1b-84152e090fa2,183,202,0.905940594059406
Hardened Shell,8c8a2a2c-500c-4b77-90fd-0d309b94bb2c,39,41,0.9512195121951219
Heaven's Gold,d8e07e64-4a4b-46ab-be16-5ff90abaab37,123,134,0.917910447761194
Hell's Banners,088041a7-fdbf-43d7-8ee6-b6720ce747b8,350,382,0.9162303664921466
Herzal's Compound,341001b3-3fa9-47a5-9d88-eb04390b82fa,1231,1297,0.9491133384734002
Herzal's Compound,f9cc17ee-b7e5-45de-a02f-bd271e2dcd1a,1090,1264,0.8623417721518988
History of the World,ba36ec3c-9bb8-4428-b15b-d989cf70216b,18,30,0.6
Hope for Peace,10648aee-8577-49b6-8659-318a7f922d5a,70,76,0.9210526315789473
Icicle Fracture,c07618e6-b679-4e2c-87a2-9203f52989cf,69,78,0.8846153846153846
Immortality Potion,7d0d8fab-6457-45c1-bf17-4edeaf2c1670,52,53,0.9811320754716981
Imp-cicle,91211832-747e-4995-b4cb-7ca23c000f10,105,125,0.84
Improved Firebox,b8071ec7-60b6-4526-bd2e-877ba90310d0,272,295,0.9220338983050848
Infused Mallet,18217b11-1a34-436c-9c5a-7326c5b655a0,78,106,0.7358490566037735
Iron Dropcage,8da05b19-a15f-4988-82b6-b47b2685fbb8,106,130,0.8153846153846154
Jackstrips,269a6f43-9982-4683-ac39-1a862e481898,217,257,0.8443579766536965
Light of Seraph,9291142a-dc6f-4834-89f1-ceda778e06ec,587,736,0.7975543478260869
Light of Seraph,2d313e11-aa80-4116-b359-7560d3307544,472,505,0.9346534653465347
Light's Gift,c6bd4947-2c30-4703-bf5c-80ec070efb67,211,239,0.8828451882845189
Lightstone Casing,60a7f580-0788-42f2-8896-cb8d22e849a5,279,314,0.8885350318471338
Lost Luggage,2058bafa-a15c-4787-9b9e-4dc7fdf09b74,131,134,0.9776119402985075
Mark of a Champion,30ca6dec-dc12-4967-8f72-fca528a0d30c,86,90,0.9555555555555556
Mark of the Exiles,87b60536-b452-4956-b823-3c02f005d38b,112,115,0.9739130434782609
Mask of Penumbra,8b00c46d-374e-4afb-aa27-526873e242d1,48,63,0.7619047619047619
Melting Spout,61fdeafd-21c5-4009-a448-a5c286ac3fc0,43,47,0.9148936170212766
Memorial Fund,265d9fb6-934f-4b7d-ba12-d3a06c48b610,83,98,0.8469387755102041
Mind Hord,4821aca0-4bb9-4a2b-b196-5ffb5d6ede5e,188,200,0.94
Mine Jacks,775d24d8-98eb-4f22-ae50-d7069bf05757,82,104,0.7884615384615384
Mold Braces,19147050-9859-4cf1-b826-f258f6c48c42,72,91,0.7912087912087912
Notice Stone,a4c87eb7-1c4e-4f63-af08-79f910e5a2e8,38,40,0.95
Penitent Remains,3f6aa752-318e-42c0-bf7a-ba9ea3bbd3de,4,8,0.5
Petrified Crucible,aa94ad34-ee09-464e-89ff-2a2c2867c097,52,63,0.8253968253968254
Petrified Heart,76892922-e4c8-4de5-b28e-500797ac4826,83,98,0.8469387755102041
Precious Plating,832037fc-aa99-4822-b03b-7146aaad2b51,247,279,0.8853046594982079
Priory's Cloak,ae618996-fea4-431e-8911-f9715f96c898,17,23,0.7391304347826086
Pyrestone Housing,3203c2d3-58f3-4f38-888e-886d8faae758,245,276,0.8876811594202898
Pyrewall,22fd0117-f7bf-405e-8a8e-863396c8a679,233,252,0.9246031746031746
Railforger's Hammer,32634a16-f477-463d-b697-e814197da535,162,179,0.9050279329608939
Railhammer,ba26070b-4f6b-4af0-a1ec-2af024b6af87,120,131,0.916030534351145
Rationing Scales,b6e760cf-b6f7-455c-847f-05db085734f1,13,15,0.8666666666666667
Refined Void,a6b0b657-8893-4cc8-bc62-ec09544c4306,35,45,0.7777777777777778
Refracting Lenses,4821aca0-4bb9-4a2b-b196-5ffb5d6ede5e,188,200,0.94
Resin Block,52c41ba0-f720-4b7e-9dd0-bd318be6acae,122,143,0.8531468531468531
Resonant Shard,b9bddf11-acaa-40fb-bc40-eee83e478424,166,185,0.8972972972972973
Rootsplit Mask,4778bb46-27e4-49ae-aa5d-750813ceb6d0,104,112,0.9285714285714286
Rules of Containment,270356af-16bd-4433-a0b2-3e5bb94ef890,95,105,0.9047619047619048
Sap Tap,9a38370b-150c-45bd-9e3e-93a688a04850,67,77,0.8701298701298701
Scorched Steel,68ef2523-5c2e-4660-b96d-00b1c0485f54,60,73,0.821917808219178
Scorching Restraints,55ca34e9-047b-4b93-b390-d8d228a43261,75,84,0.8928571428571429
Serrated Mandibles,f302d4a1-13ba-4907-a26d-f0d8eead6f2e,62,63,0.9841269841269841
Shadelamp,481b0afa-6b62-4abf-9b92-a3e68c501c08,0,0,
Shadowbox,15f3c641-14ba-4305-8c9f-cdb2ebb4e572,24,26,0.9230769230769231
Sigiled Seaweed,be9b4dd1-c0ba-41bd-a276-108ca7dad0fa,106,114,0.9298245614035088
Sinner's Salve,a19cac7c-b2e0-42bd-bc1e-d180e17a1c15,103,105,0.9809523809523809
Sketches of Salvation,297c5b7b-efb1-4834-96e0-de4a7e42ccbc,46,65,0.7076923076923077
Split Anvil,9cc85dbb-d0ae-409b-8f26-41d2202eb1e0,190,226,0.8407079646017699
Teeth of Gold,38990528-6639-4cb2-b310-4e14193256a0,8,16,0.5
Tempered Talisman,6af9b270-c064-484b-8da4-d4a22d2fecff,110,135,0.8148148148148148
Tethy's Scales,98989cbb-c729-4f87-8240-08f448db96d8,62,68,0.9117647058823529
The Bloating Fungus,1fd244de-7d7b-4345-974b-4e5bf287a3df,43,51,0.8431372549019608
The First Hellpact,20dbb7f3-9b97-440a-8a23-3d7a00ed5d8d,192,221,0.8687782805429864
The Queen's Tail,0a6cff92-aefa-4d7f-ae71-615c8e30739b,62,63,0.9841269841269841
The Unbroken Horn,3e200d1f-7ba9-4a6e-a09d-5625f25b01ac,124,154,0.8051948051948052
Thorn Casing,2d367bde-7616-4804-a6c9-910060ae5fd7,76,85,0.8941176470588236
Thornfruit,5e5d863b-514c-4026-a9b0-ffe56af2a3eb,83,98,0.8469387755102041
Titan's Claws,d2de397e-6fce-442f-a9e4-c3f3ee7bdbcf,38,45,0.8444444444444444
Token of a Traitor,b6e80269-efdd-4e28-97b3-8b19e8236b2e,27,36,0.75
Totem Fragment,5a96d89f-d7c0-49fa-88d1-8ec75a8f3140,90,101,0.8910891089108911
Traitor's Quill,2d2450a5-4ed5-4d9a-bba2-15c9eb0eee6d,138,159,0.8679245283018868
Vapor Funnel,115c50c3-6cba-4589-82f5-30b0648f3db6,156,179,0.8715083798882681
Vial of Tears,0a34dd72-df76-43ec-bb18-20afa56f823b,12,12,1.0
Volatile Guage,834f4c02-2987-469c-8634-eac97f2f67c8,27,60,0.45
Votive Key,22f5ff29-69be-4043-9fe1-245392ea3c95,79,86,0.9186046511627907
Waxer Snuffer,a5d67620-a9ec-4257-91b5-305336e11987,151,166,0.9096385542168675
Weathered Coldstones,714e922c-4a40-4c61-bdc3-bbc6c2d6c4dc,7,7,1.0
Wing Clippings,51d95691-d59e-42f1-84ba-8c530743df69,73,92,0.7934782608695652
Winged Indulgence,b149030f-3d73-4c99-ab3b-a4875e39dcb1,161,199,0.8090452261306532
Winged Steel,f3f07b9b-1349-41d0-abab-bd5ec04d81e4,184,210,0.8761904761904762
Winged Technology,d1daea7e-3346-47df-a756-c839b044e5f3,94,103,0.912621359223301
Divine Notice Stone,a4c5a50a-23c3-440d-98fa-14f90d62d0b6,78,80,0.975
golden vault,a4c5a50a-23c3-440d-98fa-14f90d62d0b6,78,80,0.975
